"","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)"
"Hungary","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"India","92","92","92","89","87","89","91","90","90","89","88","86","87","86","86","80","77","75","75","74","74","73","72","79","81","71","69","65","62","66","28","23","23","9","8","7","6","4","4",""
"Indonesia","90","92","93","90","90","90","90","88","98","88","78","80","83","88","86","85","83","82","80","81","83","84","85","87","77","77","78","76","75","74","72","70","68","66","65","56","58","60","55","61"
"Iran (Islamic Republic of)","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","97","91","99","99","99","91","96","96","99","99","99","91","95","85","88","56","56","79","10","10","10","6","7"
"Iraq","98","95","96","90","94","99","99","99","94","90","92","87","92","89","92","94","94","94","93","93","93","94","95","96","97","97","96","96","96","96","96","98","99","98","94","91","87","83","80","76"
"Ireland","","","","18","77","74","76","42","41","30","30","34","33","31","31","30","90","90","89","89","89","89","89","88","87","86","86","85","84","84","83","82","81","81","80","75","75","","",""
"Israel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","70","75"
"Jamaica","97","93","93","96","99","90","93","95","95","95","94","92","87","90","95","90","88","90","96","94","89","85","97","98","98","99","99","85","94","98","99","96","92","73","51","50","56","27","32","38"
"Japan","99","99","93","98","84","93","93","95","94","99","94","90","94","","","","","","","","","","","","","","91","93","94","85","85","85","85","85","85","85","91","96","85",""
"Jordan","86","94","99","99","98","95","98","96","95","95","95","95","90","95","89","58","67","29","","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","87","95","95","95","95","95","95","95","96","96","96","97","99","99","69","65","99","99","95","98","99","99","99","93","90","86","93","90","","","","","","","","","","","",""
"Kenya","95","95","89","99","87","94","92","97","99","99","99","98","92","92","85","87","87","91","94","91","88","99","96","96","97","97","96","96","94","92","90","90","86","80","82","76","","","",""
"Kiribati","89","89","89","79","79","72","86","95","86","87","76","83","90","91","93","94","91","88","85","80","70","97","99","99","47","60","87","79","94","93","99","98","68","65","62","54","72","91","68","66"
"Kuwait","96","96","99","96","99","99","99","97","99","98","99","99","94","84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kyrgyzstan","96","97","97","97","97","97","98","98","98","98","98","99","98","99","96","98","99","99","99","96","99","94","97","99","96","97","95","97","","","","","","","","","","","",""
"Lao People's Democratic Republic","79","79","81","78","83","82","82","81","77","72","67","68","56","61","65","60","65","65","60","69","63","56","58","61","62","69","42","34","34","26","29","27","15","10","8","7","7","6","4",""
"Latvia","96","95","96","96","93","92","94","94","93","92","96","95","95","95","97","98","97","99","99","99","99","99","99","99","99","99","91","93","","","","","","","","","","","",""
"Lesotho","96","96","96","96","95","97","98","93","87","90","92","95","95","95","96","96","96","90","83","88","92","93","94","95","96","95","93","92","90","89","87","86","84","88","91","89","87","84","81","81"
"Liberia","84","92","87","97","87","73","87","85","85","73","87","85","77","77","76","60","64","69","73","78","82","","","","","","","","","","","","","","","","","","",""
"Libya","74","74","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","97","97","97","97","99","99","99","99","95","90","90","92","95","92","87","85","84","89","78","88"
"Lithuania","97","96","97","98","97","98","98","98","98","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","97","96","98","94","","","","","","","","","","","",""
"Madagascar","70","70","70","70","70","75","77","78","82","76","78","83","94","95","92","85","77","73","73","72","72","70","67","67","72","77","77","77","75","67","72","70","54","49","31","28","31","22","26","21"
"Malawi","91","92","89","86","90","97","96","99","99","97","95","97","95","99","99","97","91","78","93","83","87","99","99","95","97","94","96","98","96","97","96","90","92","87","87","74","81","87","86",""
"Malaysia","99","99","98","99","99","99","99","99","99","99","99","99","99","98","98","99","99","98","98","99","99","98","98","98","98","97","98","99","99","99","99","99","98","96","95","95","94","95","91","94"
"Maldives","99","99","99","99","99","99","99","99","98","97","99","98","98","99","97","98","98","99","98","99","98","99","99","99","99","98","89","99","99","99","98","98","62","54","45","36","27","20","8","7"
"Mali","83","83","83","82","78","73","70","77","84","82","84","86","86","86","83","76","74","82","75","69","78","79","84","80","76","75","74","70","68","82","85","64","51","37","33","30","26","23","19",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","","96","92","77","77","79","87","77","79","67","79","72","65","63","63","","",""
"Marshall Islands","89","98","92","94","99","89","93","97","80","99","98","95","92","92","93","91","93","90","99","89","81","81","94","98","71","96","88","72","71","49","","","","","","","","","",""
"Mauritania","90","90","90","86","85","93","95","95","86","85","81","89","92","86","91","94","96","99","95","78","75","77","78","79","80","82","84","81","80","79","79","79","77","73","74","70","66","61","57",""
"Mauritius","99","99","99","98","98","97","99","99","99","99","95","96","98","97","99","99","99","87","89","88","86","87","87","86","86","87","87","87","87","87","88","88","87","88","87","88","88","89","87","89"
"Mexico","76","96","94","99","98","96","91","99","99","98","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","97","93","94","89","67","80","72","71","54","16","47","52","50","41","48"
"Micronesia (Federated States of)","77","80","83","85","76","73","70","78","75","70","75","79","82","55","70","62","64","52","39","24","39","52","48","49","50","50","50","50","50","12","8","","","","","","","","",""
"Monaco","","","","","","","","89","89","89","89","89","89","89","89","89","89","92","94","97","99","99","95","93","90","90","94","98","99","99","99","99","","","","","","","",""
"Mongolia","99","99","99","99","99","99","99","99","99","99","98","98","99","98","99","98","98","98","98","97","97","95","96","90","94","90","84","83","85","81","92","78","60","54","52","52","52","52","53","51"
"Montenegro","93","93","83","85","88","91","93","95","97","95","95","98","98","98","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","99","99","99","99","99","99","99","99","99","99","99","99","96","95","95","95","92","92","93","97","93","90","94","96","96","97","99","97","96","96","91","92","92","83","77","70","62","50","",""
"Mozambique","94","94","94","94","94","94","93","92","91","90","90","90","90","90","90","90","90","87","86","84","83","81","80","78","78","78","66","64","63","59","53","49","52","45","47","49","59","56","46",""
"Myanmar","91","90","91","88","94","92","86","87","93","93","93","88","89","85","76","85","80","82","75","88","90","95","94","92","90","83","80","77","69","95","66","60","54","28","45","36","28","20","15","9"
"Namibia","94","94","94","89","94","97","94","90","89","88","85","88","95","88","95","94","92","81","69","77","80","85","65","79","92","99","92","92","91","","","","","","","","","","",""
"Nauru","99","99","99","99","99","99","99","99","99","99","99","99","99","99","90","93","97","99","99","93","95","89","78","78","78","81","84","86","90","93","96","95","93","87","81","81","","","",""
"Nepal","96","96","95","93","94","99","97","96","97","94","94","87","89","93","87","85","91","85","84","84","93","81","86","81","76","76","75","75","74","74","70","66","62","67","67","58","53","59","32","22"
"Nicaragua","98","98","98","98","98","98","98","98","98","98","98","98","98","98","88","88","94","93","97","96","99","92","95","94","93","92","91","91","74","84","94","91","94","99","99","98","89","83","66","34"
"Niger","70","87","92","91","94","87","43","85","53","81","86","78","73","69","64","61","58","56","53","50","47","48","48","53","53","32","34","38","38","50","32","27","28","28","28","28","28","28","28",""
"Nigeria","67","67","67","64","53","51","51","51","57","62","76","65","53","52","49","45","42","38","41","44","46","49","29","43","42","55","52","57","60","80","61","54","47","40","28","16","19","21","23",""
"Niue","99","99","99","92","99","99","99","99","99","99","99","99","99","99","97","96","99","99","99","99","99","99","99","99","92","99","99","99","99","99","99","99","99","71","41","41","60","80","99","85"
"Oman","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","99","98","98","98","98","98","96","96","96","96","96","95","96","94","96","95","96","97","95","93","79","77","77","54","51"
"Pakistan","88","87","86","86","86","85","84","84","83","74","74","75","77","77","78","78","80","82","78","74","70","66","62","59","73","75","77","80","80","80","80","77","72","69","62","55","35","12","11","6"
"Panama","99","99","99","99","99","99","95","98","99","99","99","98","97","98","99","99","99","99","99","99","99","99","99","99","99","95","92","84","87","97","87","92","90","92","94","89","81","83","98","99"
"Papua New Guinea","52","52","62","72","67","84","93","91","91","88","89","80","81","90","90","89","89","84","81","88","82","86","88","80","91","85","94","82","89","92","82","80","74","76","66","66","58","50","64","62"
"Paraguay","87","91","96","94","96","96","91","93","94","93","91","94","98","99","98","97","88","83","86","85","85","84","83","83","82","82","80","84","78","75","66","56","66","51","68","80","55","47","42","31"
"Peru","81","81","84","90","91","94","95","95","91","95","97","97","96","96","95","95","94","92","87","93","97","96","98","99","94","91","87","85","78","83","62","70","61","54","63","64","61","65","63","57"
